date,close,high,low,open,volume,sma20,sma50,ema20,rsi,macd,bb_high,bb_low,daily_return,target
2021-10-01,1143.02880859375,1150.3208140813133,1130.0301151683525,1133.1778684079156,8958928,1107.2586242675782,1025.0402124023437,1102.396553970907,71.66531202320809,33.588126340130884,1159.4668454243076,1055.0504031108487,0.0017663077492231505,1
2021-10-04,1157.72607421875,1166.1955973057436,1149.075293250508,1156.2993722307872,10918552,1111.0552062988281,1028.9846740722655,1107.6660320897493,74.54442711074688,33.91726375543044,1166.261636317895,1055.8487762797613,0.012858176027148227,1
2021-10-05,1181.75341796875,1183.0216242133338,1153.7403880823629,1157.2505376163049,13533634,1115.21298828125,1033.545556640625,1114.721973602035,78.40723229265929,35.705324607811235,1178.0398235962152,1052.386152966285,0.020753910864635294,0
2021-10-06,1159.40185546875,1186.6221652780882,1155.438860897584,1186.6221652780882,10258881,1117.9067077636719,1037.9207421875,1118.977200446484,68.06052766028962,34.91629807212303,1183.4044639442347,1052.408951583109,-0.01891389706189206,1
2021-10-07,1165.0860595703125,1177.0204479976474,1162.9573276219362,1175.3219190109808,6336665,1121.1009155273437,1042.6075378417968,1123.368520363039,69.17456958706245,34.35364914118577,1189.2075405159933,1052.994290538694,0.004902703988915347,1
2021-10-08,1209.8570556640625,1215.812929031673,1169.207605953432,1170.906015220909,15772493,1126.6638793945312,1048.3496313476562,1131.6055237250412,76.21236754530815,37.09280822395658,1204.0523691391704,1049.275389649892,0.03842720091446439,0
2021-10-11,1201.4326171875,1231.9366542030143,1198.1263679197398,1223.5124154081875,14768666,1133.029638671875,1053.779210205078,1138.2557231024182,72.84228828292926,38.144127988977516,1212.9842118754618,1053.0750654682884,-0.006963168447977175,1
2021-10-12,1208.29443359375,1215.1788796176056,1196.2694750157295,1197.9680041586355,6682011,1139.80869140625,1059.508621826172,1144.926076482545,73.85634844831216,39.08050201404831,1221.1367873188526,1058.4805954936476,0.005711361842591911,1
2021-10-13,1220.591064453125,1231.7102112927382,1208.9736680853591,1213.3669853963502,9959762,1146.979510498047,1065.1469958496093,1152.1322658130766,75.61366050952165,40.34969435849507,1230.2209133370163,1063.7381076590775,0.010176849712699498,1
2021-10-14,1223.0595703125,1230.7818997818822,1217.081054491215,1223.0369280495506,8623469,1153.143731689453,1070.6965991210936,1158.8872471939742,75.96295872146075,41.08116809453895,1239.6834645229924,1066.6039988559137,0.0020223856550032338,1
2021-10-18,1226.3206787109375,1243.2597273294034,1205.8034336758178,1208.656838063519,13594479,1160.3236206054687,1076.1664892578126,1165.3094787670184,76.44300747566562,41.44624399251643,1246.1261646145392,1074.5210765963982,0.002666352872415123,1
2021-10-19,1237.3038330078125,1246.1357531841286,1226.501796349313,1233.6578296621897,8833409,1167.9666076660155,1081.5797644042968,1172.1660839328083,78.03411516077946,42.13609930957114,1252.5955955806592,1083.337619751372,0.008956184534391287,0
2021-10-20,1223.0595703125,1242.2406818392346,1219.0286485058557,1242.2406818392346,12710570,1174.6629943847656,1087.1175915527344,1177.0130826356362,71.30727451688507,41.06010631664549,1254.3295612434213,1094.99642752611,-0.011512340231489948,0
2021-10-21,1187.7772216796875,1235.5600608138357,1179.0358711096487,1235.2883536749923,20831669,1179.011004638672,1092.057568359375,1178.0382387350696,57.97586517568359,36.934624094309584,1251.2252138147715,1106.7967954625724,-0.02884761256869739,1
2021-10-22,1189.99658203125,1206.9810344630644,1182.7951444896785,1186.6449281501525,11027475,1182.1248107910155,1096.9431970214844,1179.1771285728012,58.50143488407353,33.45854427187123,1250.4922110585298,1113.7574105235012,0.0018684988321497897,0
2021-10-25,1178.4017333984375,1213.819979870448,1163.9989792562783,1213.819979870448,17198417,1184.8219360351563,1101.3319702148438,1179.103281413338,54.65562051160796,29.42888076766394,1247.930666542357,1121.7132055279558,-0.009743598265652853,1
2021-10-26,1205.2371826171875,1208.7926167498356,1179.013250231775,1185.33151952741,9750178,1187.9153686523437,1106.3190478515626,1181.592224385133,61.0393751057554,28.07708473175876,1248.6122718151414,1127.218465489546,0.022772750971231437,0
2021-10-27,1189.99658203125,1212.3707315877275,1186.6222858874532,1201.138372284091,9896298,1189.7123229980468,1110.6829138183593,1182.392639399049,56.20022934929618,25.482244090142785,1248.3876418606917,1131.037004135402,-0.012645312313417256,0
2021-10-28,1176.9522705078125,1194.774603252533,1173.283745409445,1186.644714603019,9886181,1191.314501953125,1114.5336169433594,1181.874509028455,52.37312029658159,22.118281481991062,1246.664441801012,1135.9645621052382,-0.010961637806700009,0
2021-10-29,1148.713134765625,1175.8428779756357,1133.0648156155328,1175.8428779756357,14233025,1191.6994873046874,1117.9033276367188,1178.7162829081853,45.19746241693176,16.977943465037015,1245.736129224942,1137.6628453844328,-0.02399344174764484,1
2021-11-01,1149.4151611328125,1157.6582624374937,1129.6225892164332,1148.7131311991511,15481114,1192.0188049316407,1121.2109887695312,1175.9256998819592,45.39774838934758,12.813134376030575,1244.9657280693975,1139.071881793884,0.0006111415861287384,0
2021-11-02,1132.6571044921875,1154.0348738636576,1130.143454028727,1152.6760985535552,10569130,1190.7653564453126,1124.40451171875,1171.8048812734096,41.49885883851987,8.06726365546524,1247.9200251713871,1133.610687719238,-0.014579637721246819,0
2021-11-03,1124.866943359375,1141.353145207229,1114.6309640383438,1135.0348760961226,11989430,1187.9210327148437,1127.3145080566405,1167.334601472073,39.78818120816277,3.635616890519259,1251.8473387999006,1123.9947266297868,-0.006877775367245986,1
2021-11-04,1131.77392578125,1134.514118637374,1127.7656464746356,1129.1016597099565,1705656,1186.5396362304687,1130.169248046875,1163.9478704538994,42.06838796822184,0.6730817904915511,1253.9693805124684,1119.1098919484689,0.006140266155610918,1
2021-11-08,1133.1781005859375,1141.3532756603024,1112.5476437566415,1141.081448693073,20337183,1184.94423828125,1132.880870361328,1161.0174161807602,42.54475279737691,-1.543649221298665,1255.7540451051375,1114.1344314573623,0.0012406848865318398,1
2021-11-09,1142.1231689453125,1145.38413396809,1126.4295651226153,1134.5594552172415,15682497,1181.5575439453125,1135.5191174316406,1159.2179640630986,45.61283952484156,-2.5492461366677617,1253.743062230913,1109.372025659712,0.007893788588704487,1
2021-11-10,1154.8953857421875,1158.56403111527,1133.9479393972968,1139.8585280650227,10253470,1179.2306823730469,1138.440438232422,1158.8062899372976,49.73979243427291,-2.2891894325859994,1251.703176050221,1106.7581886958728,0.01118287164130427,1
2021-11-11,1157.00146484375,1164.2254244154967,1148.3959679290283,1150.4341308509872,10722478,1176.666033935547,1141.0157287597656,1158.6344018331504,50.40804014619422,-1.8913473636498566,1248.4702117300549,1104.861856141039,0.0018236102832889234,1
2021-11-12,1174.4615478515625,1177.0206028987552,1158.111197547698,1160.783463915503,8712341,1174.3595581054688,1144.0498266601562,1160.1417490729991,55.67021349890709,-0.16526678635409553,1243.2772693001336,1105.4418469108039,0.015090804582663653,0
2021-11-15,1167.53173828125,1178.5829582987624,1163.9989466772256,1177.5864592461571,4803269,1171.5831665039063,1146.8642578125,1160.8455575690232,53.25490200070598,0.636153606616972,1236.8043524937955,1106.3619805140172,-0.005900414179577984,0
2021-11-16,1140.402099609375,1166.2636363626991,1130.0302662731583,1164.9275032865714,11337581,1167.2872375488282,1148.8888012695313,1158.8985615728661,45.019924501392275,-0.9073902371774238,1228.7298597063555,1105.844615391301,-0.023236746190568813,0
2021-11-17,1115.9898681640625,1131.819326460902,1114.631092727357,1131.819326460902,10202029,1161.2215393066406,1149.5727099609376,1154.812019343456,39.15293509594802,-4.05379330430992,1217.5584218096471,1104.884656803634,-0.021406687565442506,1
2021-11-18,1120.201904296875,1127.3127730233773,1109.6715745881545,1114.1781038166205,8505625,1156.0786560058593,1150.0047924804687,1151.5158179104483,40.591496638477594,-6.136723955379921,1207.4574552435438,1104.6998567681749,0.0037742601908579143,0
2021-11-22,1070.5848388671875,1109.1961291306902,1064.8101030658254,1103.353466536403,24124307,1150.2190368652343,1149.3059399414062,1143.808105620614,31.226032763030105,-11.656772004536379,1211.5649349012572,1088.8731388292115,-0.044292966508417964,1
2021-11-23,1080.59423828125,1087.5692534410966,1045.7875684738456,1056.6801744196864,25326999,1144.7489196777344,1148.8937866210938,1137.7877373025794,34.50879074898437,-15.050284659539557,1210.2981559307327,1079.1996834247361,0.009349468674200168,0
2021-11-24,1064.9912109375,1091.4868494573443,1061.4357769402943,1077.9446209027212,16820296,1139.0783935546874,1148.2216552734376,1130.8547347916194,31.948710077485018,-18.78219237211124,1211.2853111854595,1066.8714759239153,-0.01443930273824845,1
2021-11-25,1129.1016845703125,1133.2006528139436,1067.5954770563671,1074.7742721480845,42401936,1135.2716186523437,1149.3213403320312,1130.6877776276854,48.76690265639183,-16.377783795900314,1200.8489217647555,1069.694315539932,0.06019812461773921,0
2021-11-26,1092.709716796875,1122.1493269988057,1087.6822964764374,1117.7107252384765,15763138,1130.407275390625,1149.7212670898436,1127.0708194533224,42.36625049629094,-17.210409448363862,1193.4078636146423,1067.4066871666078,-0.03223090379790439,1
2021-11-29,1105.7989501953125,1132.294706490918,1086.5951994258771,1104.7120019443607,24325354,1126.849609375,1150.2937524414062,1125.0449271430357,45.15451084941823,-16.62246609075055,1186.901859843647,1066.797358906353,0.011978692233841182,0
2021-11-30,1089.44873046875,1121.3794713466475,1081.9529437331894,1117.8013949441,32172299,1123.8863891601563,1150.0872241210936,1121.654813174056,42.39539939115821,-17.276687927323565,1185.1669936796384,1062.6057846406743,-0.014785888269901681,1
2021-12-01,1117.3486328125,1120.519028933976,1098.3713010103995,1101.9493776790864,10104610,1122.2830627441406,1150.7797387695311,1121.2447007586698,48.21069695861096,-15.36673632539555,1182.47637366665,1062.0897518216311,0.025609192579209905,1
2021-12-02,1124.52734375,1130.5737867535804,1114.9028239659328,1118.5714698041102,12720411,1121.8765747070313,1151.5814038085937,1121.5573334245107,49.61999057036597,-13.12255529382378,1181.8937135985616,1061.859435815501,0.006424772650797772,0
2021-12-03,1090.73974609375,1131.6156243395585,1087.003173284586,1131.5703398085593,19222481,1120.17021484375,1151.6135620117188,1118.6223251072954,43.605507662997674,-13.910055947719457,1181.6724283248627,1058.6680013626374,-0.030046043650283627,0
2021-12-06,1070.06396484375,1098.326063585159,1067.5955985919252,1094.249856939928,10332254,1117.084716796875,1150.9985009765626,1113.9977193679101,40.3800058301978,-16.017874554643868,1182.0434660658964,1052.1259675278536,-0.01895574203108108,1
2021-12-07,1078.7825927734375,1088.8146726752468,1068.8863664494722,1076.2010153934032,11235122,1114.36494140625,1150.0197436523438,1110.643897787484,42.31763171747932,-16.791256425454094,1180.9356672133097,1047.7942155991902,0.008147763326429303,1
2021-12-08,1095.2008056640625,1101.405743762558,1089.8563933091182,1097.9183562650253,8744178,1112.0188232421874,1149.4345751953124,1109.173127109063,45.8843075618034,-15.89611405460937,1177.8139099375228,1046.223736546852,0.015219204500153793,1
2021-12-09,1112.5701904296875,1120.9265028973475,1098.3259314492311,1102.8551026436394,13213547,1109.9025634765626,1148.8186083984374,1109.4966569491226,49.44571580316,-13.628047440255386,1172.6995386462002,1047.105588306925,0.015859543451571145,1
2021-12-10,1113.7025146484375,1116.8955527047665,1100.7489847314073,1105.2328712872277,8364414,1107.737615966797,1148.0115087890624,1109.8972148252478,49.678217219158185,-11.60543893075851,1166.7625151480615,1048.7127167855324,0.0010177553097237002,0
2021-12-13,1091.3736572265625,1120.5642045309762,1088.8146024741634,1120.2924973928066,12901733,1103.5832214355469,1146.9408081054687,1108.133066482516,45.258002129602424,-11.669737825282255,1154.357643732321,1052.8087991387727,-0.020049211641515963,0
2021-12-14,1078.0125732421875,1089.7205393231309,1074.9553887174343,1077.944646457222,12991523,1099.1072631835937,1145.680791015625,1105.264448078675,42.80375042918653,-12.652967444243586,1141.660690765058,1056.5538356021293,-0.012242446842934296,0
2021-12-15,1074.8648681640625,1089.2676234327396,1069.38448219365,1079.7563157042175,9366969,1095.8304016113282,1144.3175122070313,1102.3692499915692,42.222841300621,-13.53020965969904,1135.1283526017548,1056.5324506209015,-0.0029199149956647963,1
2021-12-16,1088.769287109375,1094.0231302341062,1072.8039773873268,1089.5845283011158,9761279,1094.4693725585937,1142.9383764648437,1101.0740154313603,45.72677212179848,-12.954132850988799,1132.7526639659452,1056.1860811512422,0.012935969308460304,0
2021-12-17,1060.03173828125,1090.6263454753455,1050.7694958949853,1086.1198166210097,21049821,1091.4608642578125,1140.5039428710938,1097.1652271313499,40.28848823500921,-14.64761921391846,1130.629262299964,1052.292466215661,-0.02639452560645028,0
2021-12-20,1031.45263671875,1049.7957435304404,1017.7517924627566,1049.7957435304404,14325846,1089.5042541503906,1137.9449584960937,1090.9068851872928,35.73663250783541,-18.087314703091806,1135.892678352906,1043.1158299478752,-0.026960609319904516,1
2021-12-21,1046.8065185546875,1062.5454064146618,1038.1784989493156,1046.8518030785813,12836561,1087.8148681640625,1135.5793676757812,1086.706850269902,39.67962419197464,-19.35129849028317,1137.7068660033128,1037.9228703248123,0.014885687708144468,1
2021-12-22,1071.6490478515625,1074.276029474332,1051.6754577350616,1052.988828746117,17658543,1088.1477600097655,1132.8152075195312,1085.2727738491078,45.505695500576984,-18.139331331320136,1137.5122316863074,1038.7832883332237,0.023731729652557654,0
2021-12-23,1071.2640380859375,1077.944583084397,1068.003073398001,1075.2270326442374,9072401,1085.255877685547,1130.2118359375,1083.9386085383298,45.43245714222938,-17.013781415073254,1131.3532350524679,1039.158520318626,-0.000359268518361322,1
2021-12-24,1074.6837158203125,1083.3796623765666,1058.718285237532,1073.4155095265614,7886494,1084.3545776367187,1127.5396215820313,1083.057190184233,46.25977133202685,-15.665256260683691,1130.5385485238455,1038.1706067495918,0.0031921894255733108,0
2021-12-27,1073.5286865234375,1077.0388360812635,1063.4966072069749,1069.588333994207,4017223,1082.741064453125,1124.5983740234376,1082.1497136451096,46.00605781904069,-14.522337109153113,1128.0622871696562,1037.419841736594,-0.0010747620717350692,1
2021-12-28,1086.2784423828125,1089.1997736760372,1074.797017388756,1075.951892667275,6374613,1082.5825500488281,1121.8627514648438,1082.5429259058433,49.31088231334327,-12.44431637077696,1127.8309397782318,1037.3341603194244,0.011876492933471816,1
2021-12-29,1088.1353759765625,1095.6085205634522,1078.8957755234703,1082.926817028114,15425312,1081.1218872070312,1119.0990454101564,1083.0755401982926,49.79288319624119,-10.526290418749568,1123.5873237686046,1038.6564506454579,0.0017094453146624389,0
2021-12-30,1068.478759765625,1089.245070757408,1062.364389937375,1087.003127167027,29333171,1078.3194580078125,1115.7225439453125,1081.6853706332765,44.92319851665446,-10.471654964116624,1116.09593041403,1040.542985601595,-0.01806449513995112,1
2021-12-31,1072.57763671875,1079.7110276415224,1068.8863489128844,1074.7742955921874,9477290,1077.4113525390626,1112.7129052734374,1080.8179674033215,46.10680758248658,-9.98253836990557,1114.821300900478,1040.0014041776471,0.0038361800977906313,1
2022-01-03,1088.7467041015625,1090.603728995159,1070.4941656370395,1071.1509110384136,5421611,1078.3454895019531,1110.732294921875,1081.5730851841063,50.61535157059327,-8.195726108918507,1115.9076380928161,1040.7833409110901,0.015074962249145063,1
2022-01-04,1113.3175048828125,1114.6309956772857,1088.81462402871,1094.2044407783767,10847728,1080.0722351074219,1109.1987133789062,1084.5963632506498,56.56222861748299,-4.742339504695792,1120.6130610156822,1039.5314091991615,0.022567968002737526,1
2022-01-05,1118.5260009765625,1121.8776545605729,1101.9265882823174,1115.0838981501056,11643813,1081.2384948730469,1108.0011987304688,1087.8277573197843,57.724385184993245,-1.5671584083852395,1124.6905559340196,1037.7864338120742,0.004678356417559648,0
2022-01-06,1094.47607421875,1111.4605249543165,1091.0791361515087,1110.1923187691705,14447422,1080.3337890625,1105.7859765625,1088.460930357781,50.9464538560384,-0.9801342320315598,1121.8490791629908,1038.8184989620092,-0.02150144631131956,1
2022-01-07,1103.30810546875,1113.2949007403674,1092.2342419850618,1101.020877531252,13112115,1079.8140686035156,1104.05220703125,1089.8749470350162,53.12329361372245,0.19550411675891155,1119.880368009961,1039.74776919707,0.008069643053919107,1
2022-01-10,1104.2138671875,1112.8193642531028,1094.2723568788356,1110.5547786779955,9246731,1080.4560791015624,1102.5974389648438,1091.24055847811,53.351920797101585,1.1866148221015465,1121.6386586051524,1039.2734995979724,0.0008209508425256473,1
2022-01-11,1112.16259765625,1120.9491128479206,1102.8550708538112,1103.3080358803263,16205164,1082.1635803222657,1101.8664282226562,1093.2331336379327,55.40735012605498,2.5836901434856827,1125.5710581629498,1038.7561024815816,0.0071985425151341875,1
2022-01-12,1141.851318359375,1143.595131948247,1116.4426269818646,1119.2960312179016,14800442,1085.5129028320312,1101.7151513671874,1097.8634369447368,62.1208292512293,6.017152059423552,1135.9233011835167,1035.1025044805456,0.026694586534100617,1
